otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Mary Palace Hotel Spa,24412.5,60,400.0,0.0,2,1,2,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,Antalya , Side 
Seven Seas Hotel Blue,23400.0,70,0.0,0.0,3,1,1,1,4,0,1,8,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Antalya , Side-Titreyengöl 
Side Royal Palace Hotel Spa,18514.0,58,200.0,0.0,3,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,Antalya , Side-Evrenseki 
Trendy Aspendos Beach,32400.0,55,0.0,0.0,4,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Gündoğdu 
Hedef Kleopatra Hotel,9517.5,110,100.0,0.0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,Antalya , Alanya 
Justiniano Club Alanya,22325.7,90,0.0,0.0,2,0,1,1,2,1,0,4,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,Antalya , Alanya-Okurcalar 
Larissa Sultans Beach Hotel,16200.0,65,50.0,0.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,Antalya , Kemer-Çamyuva 
Mysea Hotels İncekum,9450.0,100,0.0,0.0,0,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Alanya-Türkler 
Sayanora Hotel,9801.0,65,50.0,0.0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,Antalya , Side-Denizbükü 
Seaden Corolla Hotel Side,14256.0,64,300.0,0.0,2,1,1,1,3,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Kumköy 
Taç Premier Hotel Spa,11297.5,120,,0.0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,Antalya , Alanya 
Tu Casa Gelidonya Hotel,13708.8,58,200.0,0.0,0,0,1,1,2,1,0,4,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Kemer-Merkez 
Avena Resort Spa Hotel,13851.0,125,100.0,0.0,1,1,1,1,1,0,1,3,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Obagöl 
Blue Wave Suite Hotel,12144.0,125,400.0,0.0,0,1,1,1,2,0,1,4,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,Antalya , Alanya-Obagöl 
Eldar Resort Hotel,11700.0,48,300.0,0.0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Kemer-Göynük 
Gardenia Beach Hotel,13433.4,96,0.0,0.0,1,1,1,1,3,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,Antalya , Alanya 
Grand Miramor Hotel,13005.0,60,200.0,0.0,1,1,1,1,2,1,1,6,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Kemer-Kiriş 
Hotella Resort Spa,15062.8,29,,0.0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,Antalya , Belek 
