otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Türkmen Boutique Bungalow Apart,"6.480,00 TL",5000-7000,Antalya - Demre ,"196 km, Antalya ",Denize Sıfır (Aradan Yol Geçiyor),Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vista Villas,"13.665,60 TL",13000-15000,Antalya - Belek ,"19 km, Antalya HA ",Uygun Değil,Yok,Yok,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
İrem Garden Hotel,"7.284,82 TL",7000-9000,Antalya - Side ,"65 km, Antalya HA ",600 - 750 Metre Arası,Özel Plaj,Yok,1,0,1,1,1,0,0,2,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1
Arya Apart,"8.412,00 TL",7000-9000,Antalya - Lara ,"10 km, Antalya ",600 - 750 Metre Arası,Özel Plaj,Yok,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Marine Homes,"15.768,00 TL",15000-17000,Antalya - Muratpaşa ,"9 km, Antalya ",No Info,Yok,Yok,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maison 48 Apart,"11.332,74 TL",11000-13000,Bodrum - Gümbet ,"40 km, Milas HA ",300 - 400 Metre Arası,Halk Plajı,Yok,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
New Safir Apart Hotel,"13.669,62 TL",13000-15000,Antalya - Lara-Kundu ,"15 km, Antalya ",400 - 500 Metre Arası,Halk Plajı,Yok,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nirvana Apart Hotel,"16.819,20 TL",15000-17000,Antalya - Kaş ,"188 km, Antalya HA ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Rodinn Park Hotel,"15.669,96 TL",15000-17000,Antalya - Konyaaltı ,"15 km, Antalya HA ",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardunya Apart,"6.120,00 TL",5000-7000,Marmaris - İçmeler ,"110 km, Dalaman ",600 - 750 Metre Arası,Halk Plajı,Yok,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Sercan Apart Hotel,"11.773,44 TL",11000-13000,Antalya - Side-Kızılot ,"79 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
