"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
564,Elda Alaçatı Butik Otel,"14.651,01 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/09684/1050X700/tsr09684637578226485160663.jpg,"8","13000-15000",Çeşme - Alaçatı ,"90 km, Adnan Menderes ","750 Metre ve Üzeri",Halk Plajı,Yok,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
572,Lemon Park House,"5.625,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/05560/tsr05560635908054108106776.jpg,"9","5000-7000",Antalya - Konyaaltı ,"25 km, Antalya HA ","500 - 600 Metre Arası",Halk Plajı,Yok,"1","0","1","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1"
570,Korsan Ada Hotel,"13.020,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04415/1050X700/tsr04415637337099294893160.jpg,"8,5","13000-15000",Antalya - Kaş-Çukurbağ Yarımadası ,"166 km, Dalaman HA ",Denize Sıfır,Halk Plajı,Yok,"0","0","1","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0"
566,Ena Boutique Hotel,"11.400,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/04636/tsr04636636171375908381969.jpg,"","11000-13000",Bodrum - Bodrum Merkez ,"35 km, Milas HA ","400 - 500 Metre Arası",Halk Plajı,Yok,"1","1","1","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
569,Kalkan Saray Suites (Adult Only +13),"18.322,50 TL",,"","17000-19000","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
565,Elda Köyiçi Alaçatı,"14.304,90 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11555/1050X700/tsr11555637560293879070901.jpg,"","13000-15000",Çeşme - Alaçatı ,"80 km, Adnan Menderes ",No Info,Halk Plajı,Yok,"0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
576,Mara Bahçe Alaçatı,"12.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13853/1050X700/tsr13853638463744992748793.jpg,"","11000-13000",Çeşme - Alaçatı ,"No Info km, No Info",No Info,Yok,Yok,"0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
571,Lara Beach Homes,"7.126,28 TL",https://cdn.tatilsepeti.com/Files/TesisResim/10576/tsr10576637127758497172303.jpg,"7,5","7000-9000",Antalya - Lara ,"10 km, Antalya ","750 Metre ve Üzeri",Özel Plaj,Yok,"0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
573,Leylak Alaçatı,"12.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12460/1050X700/tsr12460637902028160178959.jpg,"","11000-13000",Çeşme - Alaçatı ,"85 km, Adnan Menderes HA ",No Info,Halk Plajı,Yok,"0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
577,Mic Royal Hotel,"6.300,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/09051/tsr09051636880702910355711.jpg,"","5000-7000",Antalya - Konyaaltı ,"No Info km, No Info",No Info,Yok,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
586,Olympos Toprak Evleri,"9.700,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12489/1050X700/tsr12489638036982122056655.jpg,"","9000-11000",Antalya - Olimpos ,"95 km, Antalya ","750 Metre ve Üzeri",Halk Plajı,Yok,"0","0","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1"
587,Otel Balca,"23.027,40 TL",https://cdn.tatilsepeti.com/Files/TesisResim/10546/tsr10546637110564130653558.jpg,"","23000-25000",İzmir - Alsancak ,"No Info km, No Info",No Info,Yok,Yok,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
593,Britannia Hotel,"4.750,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02996/1050X700/tsr02996637176327252160233.jpg,"",+33000,Antalya - Kemer-Merkez ,"55 km, Antalya HA ","100 - 200 Metre Arası",Halk Plajı,Yok,"0","0","1","1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","1","0","0","1","0","0","0","1","1","1"
594,Lujo Bodrum,"61.512,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/07624/1050X700/tsr07624638455222988615172.jpg,"9,8",+33000,Bodrum - Güvercinlik ,"15 km, Milas HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Var,"9","1","5","4","4","1","0","14","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1"
