otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Elamir Resort Hotel,"16.200,00 TL",15000-17000,Antalya - Kemer ,"55 km, Antalya HA ",100 - 200 Metre Arası,Özel Plaj,Yok,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0
Get Enjoy Hotels,"9.450,00 TL",9000-11000,Antalya - Kemer-Beldibi ,"40 km, Antalya HA ",200 - 300 Metre Arası,Özel Plaj,Yok,0,1,1,1,2,0,0,3,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1
Hedef Kleopatra Hotel,"15.687,00 TL",15000-17000,Antalya - Alanya ,"110 km, Antalya HA ",100 - 200 Metre Arası,Halk Plajı,Yok,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Justiniano Club Alanya,"20.250,00 TL",19000-21000,Antalya - Alanya-Okurcalar ,"90 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,2,0,1,1,2,1,0,4,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1
Larissa Sultans Beach Hotel,"20.520,00 TL",19000-21000,Antalya - Kemer-Çamyuva ,"65 km, Antalya HA ",50 - 100 Metre Arası,Özel Plaj,Yok,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1
Mysea Hotels İncekum,"9.801,00 TL",9000-11000,Antalya - Alanya-Türkler ,"100 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,0,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
The X Belek,"21.740,19 TL",21000-23000,Antalya - Belek-Serik ,"27 km, Antalya HA ",750 Metre ve Üzeri,Özel Plaj,Yok,4,0,1,1,1,1,0,4,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0
Antique Roman Palace +16,"13.365,00 TL",13000-15000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astoria Hotel,"12.105,00 TL",11000-13000,Antalya - Kemer-Merkez ,"55 km, Antalya HA ",200 - 300 Metre Arası,Özel Plaj,Yok,0,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1
Club Mermaid Village,"8.141,28 TL",7000-9000,Antalya - Alanya-Türkler ,"110 km, Antalya HA ",500 - 600 Metre Arası,Özel Plaj,Yok,1,1,1,1,3,1,0,4,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1
Hane Family Resort Hotel,"15.257,76 TL",15000-17000,Antalya - Side-Kumköy ,"60 km, Antalya HA ",300 - 400 Metre Arası,Özel Plaj,Yok,1,1,1,1,8,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0
Hoşça Kal Alaçatı,"30.000,00 TL",29000-31000,Çeşme - Alaçatı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Miramor Garden Resort,"12.105,00 TL",11000-13000,Antalya - Kemer-Kiriş ,"65 km, Antalya HA ",200 - 300 Metre Arası,Özel Plaj,Yok,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0
