otel_ad,fiyat,Predicted Price,Price Difference,Fair Price Range,Fair Price Percentage,bar,a_la_carte_restoran,plaj,acik_havuz,kapali_havuz,fitness,iskele,acik_restoran,sauna,animasyon,kuafor,spa,masa_tenisi,market,su_kaydiragi,beach_voley,doktor,otopark,wireless_internet,sorf,kapali_restoran,kano,cocuk_parki,arac_kiralama,balo_salonu,masaj,cocuk_havuzu,parasut,denize_uzakligi
Green Nature Diamond,27072.0,16096.2,10975.8,Significantly Overpriced,- 40.54,8,3,2.0,1,1,1,,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0.0
Lavitas Hotel,7140.0,9143.5,-2003.5,Significantly Overpriced (Underpriced),+ 28.06,0,0,2.0,0,0,0,,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,600.0
My Bitez Suites,14000.0,11099.9,2900.1,Significantly Overpriced,- 20.72,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0.0
Sensitive Premium Resort Spa,18905.9,13386.1,5519.8,Significantly Overpriced,- 29.2,3,3,2.0,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300.0
Lonicera City Kleopatra Hotel,6068.7,11482.9,-5414.2,Significantly Overpriced (Underpriced),+ 89.22,1,0,-1.0,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,50.0
Adin Beach Hotel,27600.0,14419.5,13180.5,Significantly Overpriced,- 47.76,0,3,2.0,6,2,1,,1,1,1,1,0,1,1,1,0,1,1,1,1,2,1,1,1,0,1,1,1,0.0
Justiniano Park Conti Club,20563.2,15295.6,5267.6,Significantly Overpriced,- 25.62,5,3,2.0,2,1,1,,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0.0
Nebilux Hotel,13176.4,11763.1,1413.3,Overpriced,- 10.73,1,1,-1.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0.0
Latanya Palm Hotel,7200.0,9013.9,-1813.9,Significantly Overpriced (Underpriced),+ 25.19,1,1,-1.0,0,1,1,,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,750.0
Tui Blue Pascha Bay,16632.0,13543.8,3088.2,Overpriced,- 18.57,1,2,2.0,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Antique Roman Palace +16,11550.0,11550.1,-0.1,Fair (Underpriced),+ 0.0,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nills Stone House Otel,28920.3,11550.1,17370.2,Significantly Overpriced,- 60.06,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Neva Hotel Alaçatı,10431.0,11550.1,-1119.1,Overpriced (Underpriced),+ 10.73,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nilus Butik Otel,5700.0,8301.3,-2601.3,Significantly Overpriced (Underpriced),+ 45.64,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,750.0
Lupo Libero Hotel Spa,9830.6,9768.8,61.8,Fair,- 0.63,0,0,2.0,0,0,1,,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,500.0
Haydarpasha Palace,18900.0,16554.4,2345.6,Overpriced,- 12.41,7,4,2.0,3,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0.0
Meriç Hotel Turunç,7481.2,12257.4,-4776.2,Significantly Overpriced (Underpriced),+ 63.84,2,0,2.0,1,0,0,,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,100.0
Alaiye Resort Spa,15744.0,15826.6,-82.6,Fair (Underpriced),+ 0.52,6,3,2.0,4,1,1,,3,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,0,1,1,0,50.0
Astoria Hotel,11186.0,12271.3,-1085.3,Slight Overpriced (Underpriced),+ 9.7,2,0,2.0,1,1,1,,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,200.0
Marbas Select Beach,3752.0,12714.5,-8962.5,Significantly Overpriced (Underpriced),+ 238.87,1,1,2.0,2,0,0,,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0
Kahya Resort Aqua Spa,23680.0,15171.7,8508.3,Significantly Overpriced,- 35.93,6,2,2.0,1,0,1,,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Sentido Kamelya Fulya Hotel,33526.6,17392.0,16134.6,Significantly Overpriced,- 48.12,6,5,2.0,8,4,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Nixie Hotel Beach Yalıkavak - Adult Only,8550.9,12469.8,-3918.9,Significantly Overpriced (Underpriced),+ 45.83,1,1,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0
Şah Inn Paradise,28000.0,14627.6,13372.4,Significantly Overpriced,- 47.76,1,1,2.0,9,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Celeste Bella Luxury Hotel Spa,14257.2,11718.7,2538.5,Overpriced,- 17.81,2,1,2.0,1,0,0,,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,300.0
Aletris Deluxe Hotel Spa,28124.0,13110.1,15013.9,Significantly Overpriced,- 53.38,6,3,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0,0,1,0,1,1,1,600.0
The Marmara Bodrum,27827.8,9742.6,18085.2,Significantly Overpriced,- 64.99,1,1,2.0,2,0,1,,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,750.0
Tui Magic Life Bodrum +16 Adult Only,26573.4,11550.1,15023.3,Significantly Overpriced,- 56.54,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kempinski Hotel Barbaros Bay,47376.0,14285.6,33090.4,Significantly Overpriced,- 69.85,2,3,2.0,1,1,1,,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0
Hillstone Bodrum Hotel Spa,32400.0,10849.9,21550.1,Significantly Overpriced,- 66.51,3,1,2.0,4,1,1,,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,750.0
Sentido Kamelya Selin Hotel,36708.0,17411.4,19296.6,Significantly Overpriced,- 52.57,7,6,2.0,5,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Marin Hotel Kemer,4500.0,10791.8,-6291.8,Significantly Overpriced (Underpriced),+ 139.82,0,0,2.0,0,1,0,,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,300.0
No81 Hotel,12800.0,12744.7,55.3,Fair,- 0.43,1,1,2.0,0,0,1,,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0.0
Monte Carlo Hotel,10260.0,12534.3,-2274.3,Significantly Overpriced (Underpriced),+ 22.17,1,0,2.0,1,0,0,,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,50.0
Odette Bodrum,15000.0,8555.8,6444.2,Significantly Overpriced,- 42.96,0,0,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,750.0
Munamar Park Otel,7335.5,10884.0,-3548.5,Significantly Overpriced (Underpriced),+ 48.37,1,0,-1.0,1,0,0,,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,200.0
Olympos Forest House Hotel,14400.0,7961.8,6438.2,Significantly Overpriced,- 44.71,0,0,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,750.0
Aqı Pegasos Royal,20202.0,13775.8,6426.2,Significantly Overpriced,- 31.81,1,3,2.0,1,1,0,,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0.0
Hoşça Kal Alaçatı,11000.0,11440.3,-440.3,Fair (Underpriced),+ 4.0,1,0,-1.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0
Maris Beach Hotel,7247.0,11911.4,-4664.4,Significantly Overpriced (Underpriced),+ 64.36,1,1,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0.0
Kimeros Park Holiday Village,26784.0,14498.6,12285.4,Significantly Overpriced,- 45.87,4,1,2.0,2,0,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0.0
Club Mermaid Village,10475.5,12237.8,-1762.3,Overpriced (Underpriced),+ 16.82,4,1,2.0,3,1,1,,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,500.0
Sentido Trendy Verbena Beach,26400.0,16313.9,10086.1,Significantly Overpriced,- 38.2,6,5,2.0,3,1,1,,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Hotel Melas Lara,21420.0,14142.9,7277.1,Significantly Overpriced,- 33.97,2,3,2.0,1,1,1,,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0.0
Sesin Hotel,5280.0,13292.8,-8012.8,Significantly Overpriced (Underpriced),+ 151.76,3,1,2.0,1,0,1,,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,100.0
Venosa Beach Resort,20160.0,15655.3,4504.7,Significantly Overpriced,- 22.34,4,5,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0.0
Orange County Alanya,13650.0,15912.8,-2262.8,Overpriced (Underpriced),+ 16.58,7,2,2.0,2,2,1,,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0.0
Mert Seaside Hotel,6960.0,11701.9,-4741.9,Significantly Overpriced (Underpriced),+ 68.13,1,0,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0
My Dream Hotel,6120.0,11765.8,-5645.8,Significantly Overpriced (Underpriced),+ 92.25,1,1,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,50.0
Kirman Arycanda De Luxe,26392.5,15586.5,10806.0,Significantly Overpriced,- 40.94,5,4,2.0,2,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Armonia Holiday Village Spa,9578.8,15555.5,-5976.7,Significantly Overpriced (Underpriced),+ 62.4,5,3,2.0,3,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,0.0
La Perla Hotel Kemer,11917.1,12321.3,-404.2,Fair (Underpriced),+ 3.39,0,0,2.0,0,0,1,,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0.0
Side Premium Hotel,35820.0,14526.1,21293.9,Significantly Overpriced,- 59.45,3,4,2.0,2,1,1,,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,100.0
Oscar Garden Hotel,7560.0,9457.3,-1897.3,Significantly Overpriced (Underpriced),+ 25.1,1,0,-1.0,1,0,0,,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,500.0
Martı Hemithea Hotel,41368.1,12961.3,28406.8,Significantly Overpriced,- 68.67,1,1,2.0,1,0,0,,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0.0
Mirage World Hotel,13177.2,13894.7,-717.5,Slight Overpriced (Underpriced),+ 5.45,3,0,2.0,4,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,50.0
Miramor Garden Resort,11526.0,11271.6,254.4,Fair,- 2.21,0,0,2.0,0,0,1,,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,200.0
Nex Royal Beach Hotel,9065.0,12076.2,-3011.2,Significantly Overpriced (Underpriced),+ 33.22,2,0,-1.0,1,0,0,,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0
Aydınbey Gold Dreams Hotel,186300.0,14816.6,171483.4,Significantly Overpriced,- 92.05,5,1,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0.0
Otel Safran Palas,9693.8,11029.6,-1335.8,Overpriced (Underpriced),+ 13.78,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Side Royal Style,22199.8,12362.0,9837.8,Significantly Overpriced,- 44.31,1,1,2.0,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,200.0
Mivara Luxury Resort Spa,28885.6,14110.5,14775.1,Significantly Overpriced,- 51.15,3,2,2.0,1,1,1,,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.0
Otel Gümüşlük,11848.9,12265.7,-416.8,Fair (Underpriced),+ 3.52,1,1,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,50.0
Kleopatra İkiz Otel,5283.5,12190.1,-6906.6,Significantly Overpriced (Underpriced),+ 130.72,1,1,-1.0,1,0,0,,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,50.0
Old Town Point Hotel,8150.8,9307.3,-1156.5,Overpriced (Underpriced),+ 14.19,0,1,-1.0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500.0
Ni Marin Hotel,14599.2,13028.4,1570.8,Overpriced,- 10.76,2,1,2.0,2,0,1,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0.0
Olive Tree Hotel,14400.0,11934.2,2465.8,Overpriced,- 17.12,0,1,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50.0
Otto Palace Boutique Hotel,8277.6,11239.0,-2961.4,Significantly Overpriced (Underpriced),+ 35.78,0,0,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Park Ulusoy Hotel,8184.9,11550.1,-3365.2,Significantly Overpriced (Underpriced),+ 41.11,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Museum Resort Spa,5700.0,8509.4,-2809.4,Significantly Overpriced (Underpriced),+ 49.29,1,0,-1.0,1,0,0,,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,750.0
Aydınbey Queen`s Palace Hotel,23120.0,11169.2,11950.8,Significantly Overpriced,- 51.69,4,2,2.0,2,1,1,,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,750.0
Larissa Sultans Beach Hotel,8976.0,12895.7,-3919.7,Significantly Overpriced (Underpriced),+ 43.67,1,1,2.0,1,1,0,,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,50.0
Kirman Calyptus Resort Spa,23922.8,13363.4,10559.4,Significantly Overpriced,- 44.14,6,2,2.0,1,1,1,,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,400.0
Ramada Resort Bodrum,22110.0,10657.8,11452.2,Significantly Overpriced,- 51.8,4,1,2.0,1,1,1,,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,750.0
Miranda Moral Beach Hotel,20659.2,11010.1,9649.1,Significantly Overpriced,- 46.71,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Morino Alaçatı,38400.0,11550.1,26849.9,Significantly Overpriced,- 69.92,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mira Su Hotel,4866.4,9827.2,-4960.8,Significantly Overpriced (Underpriced),+ 101.94,0,0,-1.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.0
Sirius Deluxe Hotel,20160.0,13372.1,6787.9,Significantly Overpriced,- 33.67,1,1,2.0,1,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0.0
Payava Hotel By True Blue,23400.4,11260.7,12139.7,Significantly Overpriced,- 51.88,1,0,2.0,1,0,0,,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,200.0
Meryem Ana,28800.0,12115.7,16684.3,Significantly Overpriced,- 57.93,1,0,-1.0,1,0,0,,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0.0
More Hotel,6238.0,11899.6,-5661.6,Significantly Overpriced (Underpriced),+ 90.76,2,0,-1.0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,50.0
My Dream Alaçatı,18000.0,11214.7,6785.3,Significantly Overpriced,- 37.7,0,0,-1.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
White City Resort Spa,18647.5,15615.4,3032.1,Overpriced,- 16.26,5,3,2.0,3,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Mustis Royal Plaza Hotel,12000.0,11984.8,15.2,Fair,- 0.13,0,1,2.0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
Belconti Resort Hotel,21234.2,16126.1,5108.1,Significantly Overpriced,- 24.06,7,3,2.0,2,1,1,,2,1,1,1,0,1,1,1,1,1,0,1,1,4,1,1,0,0,1,1,0,0.0
Kirman Sidemarin Beach Spa,26392.5,16408.5,9984.0,Significantly Overpriced,- 37.83,8,4,2.0,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0.0
Route Hotel Adult Only +12,12513.6,11550.1,963.5,Slight Overpriced,- 7.7,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Premier Nergis Beach,16392.4,13624.1,2768.3,Overpriced,- 16.89,3,1,2.0,1,0,1,,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0.0
Mysea Hotels Alara,12797.6,12878.8,-81.2,Fair (Underpriced),+ 0.63,1,0,2.0,1,1,1,,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0.0
Ramiz Alaçatı,8000.0,11010.1,-3010.1,Significantly Overpriced (Underpriced),+ 37.63,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mylome Luxury Hotel Resort,27907.2,16745.0,11162.2,Significantly Overpriced,- 40.0,7,5,2.0,3,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Pure Blanche,19370.8,12155.9,7214.9,Significantly Overpriced,- 37.25,1,0,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0
Rayana Hotel,9044.0,10908.0,-1864.0,Significantly Overpriced (Underpriced),+ 20.61,0,0,-1.0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50.0
Ramona Hotel,6594.6,10003.4,-3408.8,Significantly Overpriced (Underpriced),+ 51.69,0,0,-1.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,300.0
Rose Garden Butik,7786.2,10792.6,-3006.4,Significantly Overpriced (Underpriced),+ 38.61,0,0,-1.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100.0
Bijal Hotel,13920.0,12673.5,1246.5,Slight Overpriced,- 8.95,0,2,2.0,1,0,1,,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0.0
Bera Hotel Alanya,9240.0,12790.5,-3550.5,Significantly Overpriced (Underpriced),+ 38.43,0,0,2.0,1,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,0,2,0,0,1,1,1,1,0,0.0
Myra Hotel,9431.5,10786.1,-1354.6,Overpriced (Underpriced),+ 14.36,1,0,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,200.0
Saphir Resort Spa,24200.0,15131.0,9069.0,Significantly Overpriced,- 37.48,5,2,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0.0
Side Su Hotel,8210.5,12945.7,-4735.2,Significantly Overpriced (Underpriced),+ 57.67,3,0,2.0,3,0,1,,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,200.0
Ege Palas Business Hotel,13484.3,12861.4,622.9,Fair,- 4.62,1,1,2.0,1,0,1,,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0.0
Kirman Sidera Luxury Spa,27000.0,15939.6,11060.4,Significantly Overpriced,- 40.96,5,5,2.0,2,1,1,,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0.0
Vonresort Elite,32800.0,17265.7,15534.3,Significantly Overpriced,- 47.36,7,7,2.0,3,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0.0
Quadas Hotel,11880.0,13048.6,-1168.6,Slight Overpriced (Underpriced),+ 9.84,2,0,2.0,1,0,1,,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0.0
Nirvana Cosmopolitan Hotel,39511.8,14513.6,24998.2,Significantly Overpriced,- 63.27,1,5,2.0,1,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Royal Hayat Hotel,12000.0,11750.2,249.8,Fair,- 2.08,1,0,-1.0,0,0,0,,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0.0
Salbakos Herakleia Boutique Hotel,20000.0,7769.9,12230.1,Significantly Overpriced,- 61.15,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,750.0
Wind Of Lara Hotel Spa,24684.8,10644.8,14040.0,Significantly Overpriced,- 56.88,1,3,2.0,1,1,1,,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,750.0
Laguna Beach Alya Resort Spa,17486.4,13963.8,3522.6,Significantly Overpriced,- 20.14,4,1,2.0,4,0,1,,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,100.0
Boyalık Beach Hotel Spa Thermal Resort,43040.4,13715.3,29325.1,Significantly Overpriced,- 68.13,2,0,2.0,2,2,1,,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0.0
Ramada By Wyndham İzmir Aliağa,13785.4,9641.2,4144.2,Significantly Overpriced,- 30.06,1,0,2.0,0,0,1,,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,600.0
Salinas Wooden Houses,6400.0,8740.9,-2340.9,Significantly Overpriced (Underpriced),+ 36.58,0,1,2.0,0,0,0,,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,750.0
Wome Deluxe Hotel,29700.0,15767.1,13932.9,Significantly Overpriced,- 46.91,4,1,2.0,12,1,1,,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0.0
Özlem Garden Hotel,5672.8,12236.0,-6563.2,Significantly Overpriced (Underpriced),+ 115.7,0,0,2.0,1,0,0,,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0.0
Notion Kesre Beach Hotel Spa,17570.5,14007.5,3563.0,Significantly Overpriced,- 20.28,4,0,2.0,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0.0
Aurasia Deluxe Hotel,7688.5,12560.0,-4871.5,Significantly Overpriced (Underpriced),+ 63.36,2,1,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,50.0
May Park Hotel,6588.2,12421.8,-5833.6,Significantly Overpriced (Underpriced),+ 88.55,1,1,2.0,0,0,1,,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0
Mb City Hotel,7925.2,12642.9,-4717.7,Significantly Overpriced (Underpriced),+ 59.53,0,4,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dragut Point North Hotel,7468.4,12616.6,-5148.2,Significantly Overpriced (Underpriced),+ 68.93,1,0,2.0,1,0,1,,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0.0
Champion Holiday Village,30240.0,14306.2,15933.8,Significantly Overpriced,- 52.69,3,2,2.0,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0.0
Ramada Hotel Suites İzmir Kemalpaşa,12806.4,9219.9,3586.5,Significantly Overpriced,- 28.01,1,1,2.0,0,1,0,,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,750.0
Yasmin Bodrum Resort,13323.1,14572.6,-1249.5,Slight Overpriced (Underpriced),+ 9.38,5,1,2.0,1,0,1,,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Sea View Otel,16680.0,12673.4,4006.6,Significantly Overpriced,- 24.02,2,1,2.0,0,0,0,,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0.0
Xanadu Island Bodrum,23538.0,15530.6,8007.4,Significantly Overpriced,- 34.02,7,2,2.0,2,1,1,,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0.0
Limak Atlantis Deluxe Hotel Resort,15849.6,16121.7,-272.1,Fair (Underpriced),+ 1.72,4,5,2.0,5,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.0
Reis Maris Hotel,4727.3,10568.6,-5841.3,Significantly Overpriced (Underpriced),+ 123.57,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
Serez Otel Alaçatı By La Mira,8500.0,8238.9,261.1,Fair,- 3.07,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.0
Flora Bodrum Hotel,9000.0,11784.5,-2784.5,Significantly Overpriced (Underpriced),+ 30.94,1,1,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,50.0
