otel_ad,fiyat,Predicted Price,Price Difference,Fair Price Range,Fair Price Percentage,bar,a_la_carte_restoran,plaj,acik_havuz,kapali_havuz,fitness,iskele,acik_restoran,sauna,animasyon,kuafor,spa,masa_tenisi,market,su_kaydiragi,beach_voley,doktor,otopark,wireless_internet,sorf,kapali_restoran,kano,cocuk_parki,arac_kiralama,balo_salonu,masaj,cocuk_havuzu,parasut,denize_uzakligi
Mara Bahçe Alaçatı,10000.0,11830.5,-1830.5,Overpriced (Underpriced),+ 18.3,0,0,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0
Villa Levante Hotel,18000.0,11550.1,6449.9,Significantly Overpriced,- 35.83,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Uk Blue Coast Hotel,13680.0,11294.9,2385.1,Overpriced,- 17.43,1,0,-1.0,1,0,0,,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,100.0
Üstün Hotel Alsancak,6361.1,11967.3,-5606.2,Significantly Overpriced (Underpriced),+ 88.13,1,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
Villa Mila Alaçatı,12000.0,11584.0,416.0,Fair,- 3.47,1,0,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
Yalıpark Beach Hotel,17190.4,11591.3,5599.1,Significantly Overpriced,- 32.57,1,0,-1.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0
Alados Otel,39168.0,9017.2,30150.8,Significantly Overpriced,- 76.98,0,1,2.0,1,0,0,,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,750.0
Z Otel Çeşme,7315.0,11085.5,-3770.5,Significantly Overpriced (Underpriced),+ 51.54,0,0,-1.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
Collesium Garden,7200.0,8301.3,-1101.3,Overpriced (Underpriced),+ 15.3,0,0,2.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,750.0
Club Sideris Otel,41777.9,12085.8,29692.1,Significantly Overpriced,- 71.07,0,0,2.0,1,0,0,,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0.0
Alya Villa Butik Hotel,26070.0,8576.2,17493.8,Significantly Overpriced,- 67.1,0,0,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,750.0
Drvilla Suits,3800.0,8841.8,-5041.8,Significantly Overpriced (Underpriced),+ 132.68,0,0,2.0,4,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,750.0
Lujo Bodrum,93399.6,20558.3,72841.3,Significantly Overpriced,- 77.99,14,9,2.0,4,1,1,,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,0,0.0
Regnum Carya,71400.0,23348.8,48051.2,Significantly Overpriced,- 67.3,17,15,2.0,6,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,0.0
