id,otel_ad,fiyat,imageurl,score,fiyat_araligi,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki,predicted_price,price_difference,fair_price_range,fair_price_percentage
28,Hotel Terrace Beach Resort,"17.943,12 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00901/1050X700/tsr00901637539191416312201.jpg,"8,7","""17000-19000""",Antalya - Side-Kumköy ,"60 km, Antalya HA ",Denize Sıfır,Özel Plaj,0,2,1,1,1,1,1,1,3,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,14235.5,3707.6,Significantly Overpriced,-20.66
726,Moy Side,"4.800,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/12430/1050X700/tsr12430637933502276217952.jpg,,"""+33000""",Antalya - Side ,"70 km, Antalya ",100 - 200 Metre Arası,Halk Plajı,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,11312.6,-6512.6,Significantly Overpriced (Underpriced),135.68
434,Lara Otel,"8.158,23 TL",https://cdn.tatilsepeti.com/Files/TesisResim/02407/tsr02407635870720431752164.jpg,"8,1","""7000-9000""",Antalya - Lara ,"12 km, Antalya ",Denize Sıfır,0,0,2,1,1,1,1,0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,13643.8,-5485.6,Significantly Overpriced (Underpriced),67.24
235,Swissotel Büyük Efes İzmir,"31.304,52 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02230/1050X700/tsr02230637345619172207448.jpg,"8,1","""29000-33000""",İzmir - Alsancak ,"15 km, Adnan Menderes HA ",Uygun Değil,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,12967.6,18336.9,Significantly Overpriced,-58.58
327,Kleopatra Royal Palm Hotel,"7.875,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03134/1050X700/tsr03134638456938145193484.jpg,"6,6","""7000-9000""",Antalya - Alanya ,"118 km, Antalya HA ",50 Metreye Kadar,Özel Plaj,0,1,0,1,1,2,0,1,2,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,13668.3,-5793.3,Significantly Overpriced (Underpriced),73.57
201,Grand Ring Hotel,"15.600,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01544/1050X700/tsr01544638384150026471727.jpg,"7,8","""15000-17000""",Antalya - Kemer-Beldibi ,"45 km, Antalya HA ",Denize Sıfır,Özel Plaj,1,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,14869.7,730.3,Fair,-4.68
328,Laren Seaside Hotel Spa,"11.156,59 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/10400/1050X700/tsr10400637061501430385178.jpg,,"""11000-13000""",Antalya - Lara ,"7 km, Antalya HA ",No Info,Özel Plaj,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,12232.0,-1075.5,Slight Overpriced (Underpriced),9.64
3,Adam Eve,"31.350,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01620/1050X700/tsr01620638364315005993926.jpg,"7,3","""29000-33000""",Antalya - Belek-İskele ,"35 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,1,7,1,1,1,5,1,1,7,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,17498.6,13851.4,Significantly Overpriced,-44.18
435,Lara World Hotel,"5.925,06 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03569/1050X700/tsr03569638297268635465280.jpg,"7,4","""5000-7000""",Antalya - Lara-Örnekköy ,"10 km, Antalya HA ",200 - 300 Metre Arası,Özel Plaj,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,11712.5,-5787.5,Significantly Overpriced (Underpriced),97.68
296,Royal Atlantis Beach,"21.692,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02384/1050X700/tsr02384637438886204405170.jpg,"6,6","""21000-23000""",Antalya - Side-Çolaklı ,"50 km, Antalya HA ",Denize Sıfır,Özel Plaj,0,2,1,1,1,2,1,1,4,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,14786.2,6905.8,Significantly Overpriced,-31.84
29,İnnvista Belek Antalya,"15.966,40 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11384/1050X700/tsr11384637433812610747998.jpg,"8,5","""15000-17000""",Antalya - Belek ,"25 km, Antalya HA ",750 Metre ve Üzeri,Halk Plajı,0,3,1,1,1,0,1,0,3,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,10520.3,5446.1,Significantly Overpriced,-34.11
