otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Kamelya Aishen K Club,24059.7,55,0.0,0.0,6,1,9,1,7,2,0,13,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Trendy Side Beach,23400.0,65,0.0,0.0,2,1,1,1,1,1,1,2,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,Antalya , Side-Denizbükü 
Adalya Art Side Hotel,14641.8,60,300.0,0.0,5,1,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Evrenseki 
Akra Hotel,23010.0,15,0.0,1.0,1,1,1,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,Antalya , Lara 
Annabella Diamond Hotel Spa,13770.0,60,0.0,0.0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Alanya-İncekum 
Aska Lara Resort Spa,32140.8,12,500.0,1.0,5,1,1,1,4,2,1,8,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Kundu 
Aydınbey King`s Palace Hotel,36354.0,60,0.0,0.0,2,1,1,1,3,1,1,6,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,Antalya , Side-Evrenseki 
Belconti Resort Hotel,31356.5,30,0.0,0.0,3,1,2,4,2,1,1,7,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,Antalya , Belek-İskele 
Blue Marlin Deluxe Spa Resort,16848.0,55,100.0,1.0,0,1,1,1,2,1,1,4,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Konaklı 
Club Hotel Turan Prince World,24960.0,75,0.0,1.0,3,0,1,1,3,1,1,7,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Antalya , Side-Kızılağaç 
Corendon Playa Kemer,25855.2,40,0.0,1.0,2,1,1,1,1,1,1,6,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Kemer-Beldibi 
Doubletree By Hilton Antalya City Centre,22500.0,15,,0.0,1,1,1,2,1,1,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Antalya , Antalya Merkez-Muratpaşa 
Emelda Sun Club,20768.4,70,0.0,1.0,4,1,1,1,2,0,1,9,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Kemer-Çamyuva 
Galeri Resort Hotel,24112.8,90,0.0,1.0,4,1,1,1,1,1,1,7,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Kirman Calyptus Resort Spa,21000.0,60,400.0,1.0,2,1,1,1,1,1,0,6,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,Antalya , Side 
Kirman Leodikya Resort,26250.0,90,0.0,0.0,1,1,1,1,1,1,1,7,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Okurcalar 
Kirman Sidera Luxury Spa,24375.0,90,0.0,1.0,5,1,1,1,2,1,1,5,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Okurcalar 
Mylome Luxury Hotel Resort,24008.4,90,0.0,1.0,5,1,1,1,3,1,0,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Alanya-Okurcalar 
Nirvana Cosmopolitan Hotel,39785.2,0,0.0,1.0,5,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Kundu 
Seven Seas Hotel Life,23400.0,45,0.0,1.0,1,1,2,1,3,0,1,5,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Antalya , Kemer-Göynük 
Side Star Elegance,24824.2,65,0.0,0.0,5,1,1,1,3,0,0,8,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,Antalya , Side-Kumköy 
